number,name,theme,subtheme,rating
10255,Assembly Square,Advanced Models,Modular Buildings,5.0
10256,Fairground Carousel,Advanced Models,Fairground,
10703,Creative Builder Box,Classic,,
10704,Creative Box,Classic,,
10706,Blue Creative Box,Classic,,3.0
10707,Red Creative Box,Classic,,
10708,Green Creative Box,Classic,,
10709,Orange Creative Box,Classic,,
10730,Lightning McQueen Speed Launcher,Juniors,Cars 3,
10731,Cruz Ramirez Race Simulator,Juniors,Cars 3,
10732,Guido and Luigi's Pit Stop,Juniors,Cars 3,
10733,Mater's Junkyard,Juniors,Cars 3,
10734,Demolition Site,Juniors,City,
10735,Police Truck Chase,Juniors,City,
10736,Anna and Elsa's Frozen Playground,Juniors,Disney Princess,
10737,Batman vs. Mr. Freeze,Juniors,DC Comics Super Heroes,3.0
10738,Snow White's Forest Cottage,Juniors,,
10739,{?},Juniors,,
10740,Fire Patrol Suitcase,Juniors,City,
10742,Willy's Butte Speed Training,Juniors,Cars 3,
10743,Smokey's Garage,Juniors,Cars 3,
10744,Thunder Hollow Crazy 8 Race,Juniors,Cars 3,
10745,{?},Juniors,,
10746,Mia's Farm Suitcase,Juniors,Friends,
10747,Andrea and Stephanie's Beach Holiday,Juniors,Friends,
10823,Batwing Adventure,Duplo,,
10832,Birthday Party,Duplo,,
10833,Nursery School,Duplo,,
10834,Pizzeria,Duplo,,
10835,Family House,Duplo,,
10836,Neighborhood,Duplo,,
10837,Santa's Winter Holiday,Duplo,,
10838,Pets,Duplo,,
10839,{?},Duplo,,
10840,{?},Duplo,,
10841,{?},Duplo,,
10842,Batcave Challenge,Duplo,Batman,
10843,{Mickey Mouse in racing car},Duplo,Mickey and the Roadster Racers,
10844,Minnie Mouse Bow-tique,Duplo,,
10845,My First Carousel,Duplo,,
10846,{?},Duplo,,
10847,My First Number Train,Duplo,,
10848,My First Building Blocks,Duplo,,
10849,My First Plane,Duplo,,
10850,My First Birthday Cake,Duplo,,
10851,My First Bus,Duplo,,
10852,My First Parrot,Duplo,,
10853,Abundant Wildlife Creative Building Set,Duplo,,
10854,Creative Box,Duplo,,
10855,Cinderella's Magical Castle,Duplo,Disney Princess,
10856,{?},Duplo,,
10857,{?},Duplo,,
10952,{?},Duplo,,
11913,Nexo Knights: Build Your Own Adventure parts ,Nexo Knights,Miscellaneous,
17101,Creative Toolbox,Boost,,
21032,Sydney,Architecture,Skylines,
21033,Chicago,Architecture,Skylines,
21034,London,Architecture,Skylines,4.0
21035,Solomon R. Guggenheim Museum,Architecture,Landmark Series,
21036,Arc De Triomphe,Architecture,Landmark Series,
21129,The Mushroom Island,Minecraft,Minifig-scale,
21130,The Nether Railway,Minecraft,Minifig-scale,
21131,The Ice Spikes,Minecraft,Minifig-scale,
21132,Jungle Temple,Minecraft,Minifig-scale,
21133,The Witch Hut,Minecraft,Minifig-scale,
21134,The Waterfall Base,Minecraft,Minifig-scale,
21135,The Crafting Box 2.0,Minecraft,Minifig-scale,
21136,The Ocean Monument,Minecraft,Minifig-scale,
21137,The Mountain Cave,Minecraft,Minifig-scale,
21308,Adventure Time,Ideas,Licensed,
21309,Apollo Saturn V,Ideas,,
30323,My First Fish,Duplo,,
30324,My Town {Random Bag},Duplo,,
30324,My Town - Female,Duplo,,
30324,My Town - Policeman,Duplo,,
30324,My Town - Girl,Duplo,,
30324,My Town - Cat,Duplo,,
30324,My Town - Male,Duplo,,
30338,Fire Car,Juniors,Fire,
30351,Police Helicopter,City,Police,4.0
30352,Police Car,City,Police,4.0
30353,Tractor,City,Construction,
30354,Hot Rod ,City,,3.0
30355,Jungle ATV,City,Jungle,
30376,Knighton Rider,Nexo Knights,Miscellaneous,
30377,Motor Horse,Nexo Knights,,
30378,Shrunken Headquarters,Nexo Knights,Miscellaneous,
30400,Gymnastic Bar,Friends,,
30401,Pool Foam Slide,Friends,Summer,
30402,{Ski practice},Friends,Snow Resort,
30425,CRU Master's Training Grounds,Ninjago,General,
30426,Stealthy Swamp Airboat,Ninjago,The Hands of Time,
30449,The Milano,Marvel Super Heroes,Guardians of the Galaxy Vol. 2,
30475,Off Roader,Creator,,
30476,Happy Turtle,Creator,,4.0
30477,Chameleon,Creator,,
30478,Santa Claus,Seasonal,Christmas,
30496,U-Wing Fighter,Star Wars,Rogue One,
30521,The Mini Batmobile,The LEGO Batman Movie,,
30522,Batman in the Phantom Zone,The LEGO Batman Movie,,5.0
30523,The Joker Battle Training,The LEGO Batman Movie,,
30524,The Mini Batwing,The LEGO Batman Movie,Promotional,5.0
30546,Krypto Saves the Day,DC Super Hero Girls,Promotional,
30551,Cinderella's Kitchen,Disney,Cinderella,
30607,Disco Batman - Tears of Batman ,The LEGO Batman Movie,Promotional,3.0
30611,R2-D2,Star Wars,Promotional,
30612,Batgirl,The LEGO Batman Movie,Promotional,
31054,Blue Express ,Creator,,5.0
31055,Red Racer,Creator,,
31056,Green Cruiser,Creator,,
31057,Air Blazer,Creator,,
31058,Mighty Dinosaurs,Creator,,
31059,Sunset Street Bike,Creator,,
31060,Airshow Aces,Creator,,5.0
31062,Robo Explorer,Creator,,5.0
31063,Beachside Vacation,Creator,,
31064,Island Adventures,Creator,,4.5
31065,Park Street Townhouse,Creator,,4.0
31066,Space Shuttle Explorer,Creator,,
31067,Modular Poolside Holiday,Creator,,
31068,Modular Modern Home,Creator,,
31069,Modular Family Villa,Creator,,
31070,Turbo Track Racer,Creator,,
40171,Hedgehog Storage,Friends,Miscellaneous,
40172,Brick Calendar,Miscellaneous,Desk accessory,5.0
40174,LEGO Chess,Miscellaneous,,
40175,{Policeman with cookie and stinger},City,Police,
40234,Year of the Rooster,Creator,Chinese New Year,
40236,Romantic Valentine Picnic,Seasonal,Valentine's Day,
40237,Easter Egg Hunt,Seasonal,Easter,
40238,Halloween,Seasonal,Halloween,
40239,Narwhal,Promotional,Monthly Mini Model Build,5.0
40240,Raccoon,Promotional,Monthly Mini Model Build,
40241,Platypus,Promotional,Monthly Mini Model Build,
40242,Chick,Promotional,Monthly Mini Model Build,
40243,Car,Promotional,Monthly Mini Model Build,
40244,Dragonfly,Promotional,Monthly Mini Model Build,
40251,Mini Piggy Bank,Creator,,
40252,Mini Volkswagen Beetle,Creator,,5.0
40256,Create The World,City,,
40265,Tic-Tac-Toe,Friends,,
40266,Storage Box,Friends,Accessories,
40267,{Cake and door},Duplo,,
40268,R3-M2,Star Wars,Rogue One,
41143,Berry's Kitchen,Disney,Palace Pets,
41144,Petite's Royal Stable,Disney,Palace Pets,
41145,Ariel and the Magical Spell,Disney,The Little Mermaid,
41146,Cinderella's Enchanted Evening,Disney,Cinderella,
41147,Anna's Snow Adventure,Disney,Frozen,
41148,Elsa's Magical Ice Palace,Disney,Frozen,
41149,Moana's Island Adventure,Disney,Moana,
41150,Moana's Ocean Voyage,Disney,Moana,4.0
41181,Naida's Gondola & the Goblin Thief,Elves,,
41182,The Capture of Sophie Jones,Elves,,
41183,The Goblin King's Evil Dragon,Elves,,4.0
41184,Aira's Airship & the Amulet Chase,Elves,,
41185,Magic Rescue from the Goblin Village,Elves,,
41186,Azari & the Goblin Forest Escape,Elves,,
41187,Rosalyn's Healing Hideout,Elves,,
41188,Breakout from the Goblin King's Fortress,Elves,,
41189,{?},Elves,,
41230,Batgirl Batjet Chase,DC Super Hero Girls,,
41231,Harley Quinn to the Rescue,DC Super Hero Girls,,
