number,name,image,theme,subtheme,year,rating,pieces,minifigs,us_price,eu_price,owner,want_it
10246,Detective's Office,https://images.brickset.com/sets/small/10246-1.jpg,Advanced Models,Modular Buildings,2015,4.8,2262,6,159.99,149.99,11752,5142
10247,Ferris Wheel,https://images.brickset.com/sets/small/10247-1.jpg,Advanced Models,Fairground,2015,5.0,2464,10,199.99,179.99,5625,3366
10248,Ferrari F40,https://images.brickset.com/sets/small/10248-1.jpg,Advanced Models,Vehicles,2015,5.0,1158,,99.99,89.99,4752,2088
10249,Winter Toy Shop,https://images.brickset.com/sets/small/10249-1.jpg,Advanced Models,Winter Village,2015,4.7,898,8,79.99,69.99,5881,2061
10581,Ducks,https://images.brickset.com/sets/small/10581-1.jpg,Duplo,Forest Animals,2015,,13,1,9.99,6.99,508,115
10582,Animals,https://images.brickset.com/sets/small/10582-1.jpg,Duplo,Forest Animals,2015,,39,2,19.99,19.99,301,99
10583,Fishing Trip,https://images.brickset.com/sets/small/10583-1.jpg,Duplo,Forest Animals,2015,,32,2,24.99,17.49,272,106
10584,Forest,https://images.brickset.com/sets/small/10584-1.jpg,Duplo,Forest Animals,2015,,105,3,59.99,59.99,370,168
10585,Mom and Baby,https://images.brickset.com/sets/small/10585-1.jpg,Duplo,,2015,5.0,13,2,9.99,9.99,263,59
10586,Ice Cream Truck,https://images.brickset.com/sets/small/10586-1.jpg,Duplo,,2015,,11,2,14.99,14.99,228,44
10587,Café,https://images.brickset.com/sets/small/10587-1.jpg,Duplo,,2015,,52,3,19.99,19.99,233,54
10589,Rally Car,https://images.brickset.com/sets/small/10589-1.jpg,Duplo,,2015,,13,1,14.99,14.99,242,33
10590,Airport,https://images.brickset.com/sets/small/10590-1.jpg,Duplo,,2015,,29,3,19.99,19.99,622,69
10591,Fire Boat,https://images.brickset.com/sets/small/10591-1.jpg,Duplo,Fire,2015,,19,1,14.99,14.99,219,38
10592,Fire Truck,https://images.brickset.com/sets/small/10592-1.jpg,Duplo,Fire,2015,,26,1,24.99,24.99,311,54
10593,Fire Station,https://images.brickset.com/sets/small/10593-1.jpg,Duplo,Fire,2015,,105,,49.99,59.99,164,62
10594,Sofia the First Royal Stable,https://images.brickset.com/sets/small/10594-1.jpg,Duplo,,2015,,38,1,24.99,24.99,157,50
10595,Sofia the First Royal Castle,https://images.brickset.com/sets/small/10595-1.jpg,Duplo,,2015,,87,2,49.99,49.99,161,67
10596,Disney Princess Collection,https://images.brickset.com/sets/small/10596-1.jpg,Duplo,Disney Princess,2015,,63,3,39.99,39.99,142,73
10597,Mickey & Minnie Birthday Parade,https://images.brickset.com/sets/small/10597-1.jpg,Duplo,,2015,,24,2,24.99,24.99,431,77
10599,Batman Adventure,https://images.brickset.com/sets/small/10599-1.jpg,Duplo,Batman,2015,,47,3,39.99,39.99,175,106
10600,Classic Race,https://images.brickset.com/sets/small/10600-1.jpg,Duplo,Cars,2015,,29,,24.99,24.99,254,61
10601,Delivery Vehicle,https://images.brickset.com/sets/small/10601-1.jpg,Duplo,,2015,,19,1,19.99,19.99,171,37
10602,Camping,https://images.brickset.com/sets/small/10602-1.jpg,Duplo,,2015,,38,3,29.99,20.99,133,56
10603,My First Bus,https://images.brickset.com/sets/small/10603-1.jpg,Duplo,,2015,,17,1,14.99,14.99,177,24
10604,Jake and the Never Land Pirates Treasure Island,https://images.brickset.com/sets/small/10604-1.jpg,Duplo,Jake and the Never Land Pirates,2015,,25,2,19.99,9.99,136,45
10605,Doc McStuffins Rosie the Ambulance,https://images.brickset.com/sets/small/10605-1.jpg,Duplo,Doc McStuffins,2015,,16,1,19.99,9.99,130,36
10606,Doc McStuffins Backyard Clinic,https://images.brickset.com/sets/small/10606-1.jpg,Duplo,Doc McStuffins,2015,,39,1,29.99,34.99,185,54
10607,Spider-Man Web-Bike Workshop,https://images.brickset.com/sets/small/10607-1.jpg,Duplo,Spider-Man,2015,,13,1,14.99,14.99,192,81
10608,Spider-Man Spider Truck Adventure,https://images.brickset.com/sets/small/10608-1.jpg,Duplo,Spider-Man,2015,,28,2,29.99,29.99,125,79
10615,My First Tractor,https://images.brickset.com/sets/small/10615-1.jpg,Duplo,,2015,,12,2,14.99,14.99,341,38
10616,My First Playhouse,https://images.brickset.com/sets/small/10616-1.jpg,Duplo,,2015,,25,2,19.99,19.99,310,47
10617,My First Farm,https://images.brickset.com/sets/small/10617-1.jpg,Duplo,,2015,,26,2,19.99,19.99,396,52
10618,Creative Building Box,https://images.brickset.com/sets/small/10618-1.jpg,Duplo,,2015,,70,2,24.99,24.99,142,31
10622,Large Creative Box,https://images.brickset.com/sets/small/10622-1.jpg,Duplo,,2015,,193,2,59.99,59.99,118,22
10623,DUPLO Basic Bricks – Large,https://images.brickset.com/sets/small/10623-1.jpg,Duplo,,2015,,60,,,11.89,46,14
10677,Beach Trip,https://images.brickset.com/sets/small/10677-1.jpg,Juniors,Girl,2015,,74,1,9.99,9.99,709,250
10679,Pirate Treasure Hunt,https://images.brickset.com/sets/small/10679-1.jpg,Juniors,Fantasy,2015,4.7,57,2,9.99,9.99,1469,401
10680,Garbage Truck,https://images.brickset.com/sets/small/10680-1.jpg,Juniors,City,2015,4.0,99,2,19.99,19.99,721,328
10683,Road Work Truck,https://images.brickset.com/sets/small/10683-1.jpg,Juniors,City,2015,,132,2,19.99,19.99,638,262
10684,Supermarket Suitcase,https://images.brickset.com/sets/small/10684-1.jpg,Juniors,Girl,2015,,134,2,19.99,24.99,733,369
10685,Fire Suitcase,https://images.brickset.com/sets/small/10685-1.jpg,Juniors,City,2015,,113,2,19.99,24.99,652,190
10686,Family House,https://images.brickset.com/sets/small/10686-1.jpg,Juniors,Girl,2015,4.0,226,3,29.99,34.99,523,216
10687,Spider-Man Hideout,https://images.brickset.com/sets/small/10687-1.jpg,Juniors,Marvel Super Heroes,2015,,137,3,29.99,34.99,847,419
10692,Creative Bricks,https://images.brickset.com/sets/small/10692-1.jpg,Classic,,2015,4.0,221,,16.99,14.99,1130,232
10693,Creative Supplement,https://images.brickset.com/sets/small/10693-1.jpg,Classic,,2015,,303,,19.99,19.99,1306,265
10694,Creative Supplement Bright,https://images.brickset.com/sets/small/10694-1.jpg,Classic,,2015,,303,,19.99,19.99,943,268
10695,Creative Building Box,https://images.brickset.com/sets/small/10695-1.jpg,Classic,,2015,,580,,24.99,17.49,1085,273
10696,Medium Creative Brick Box,https://images.brickset.com/sets/small/10696-1.jpg,Classic,,2015,,484,,34.99,29.99,1498,299
10697,XXXL Box,https://images.brickset.com/sets/small/10697-1.jpg,Classic,,2015,,1500,,59.99,41.99,1457,383
10698,Large Creative Brick Box,https://images.brickset.com/sets/small/10698-1.jpg,Classic,,2015,,790,,59.99,44.99,1135,319
10699,32x32 Sand Baseplate,https://images.brickset.com/sets/small/10699-1.jpg,Classic,,2015,5.0,1,,7.99,7.99,2700,686
10700,32x32 Green Baseplate,https://images.brickset.com/sets/small/10700-1.jpg,Classic,,2015,,1,,7.99,7.99,2571,555
10701,48x48 Grey Baseplate,https://images.brickset.com/sets/small/10701-1.jpg,Classic,,2015,,1,,14.99,14.99,2463,610
11908,Friends: Build your own Adventure parts,https://images.brickset.com/sets/small/11908-1.jpg,Friends,,2015,4.0,77,,,,100,133
11909,Ninjago: Build your own Adventure parts,https://images.brickset.com/sets/small/11909-1.jpg,Ninjago,Book Parts,2015,5.0,74,1,,,204,157
11910,Micro-Scale Space Cruiser,https://images.brickset.com/sets/small/11910-1.jpg,Space,Classic,2015,,102,,,,792,430
21022,Lincoln Memorial,https://images.brickset.com/sets/small/21022-1.jpg,Architecture,Landmark Series,2015,3.0,274,,29.99,29.99,2642,1153
21023,"Flatiron Building, New York",https://images.brickset.com/sets/small/21023-1.jpg,Architecture,Landmark Series,2015,,471,,39.99,27.99,2653,1359
21024,Louvre,https://images.brickset.com/sets/small/21024-1.jpg,Architecture,,2015,5.0,695,,59.99,59.99,2866,1728
21119,The Dungeon,https://images.brickset.com/sets/small/21119-1.jpg,Minecraft,Minifig-scale,2015,4.5,219,3,19.99,19.99,1565,659
21120,The Snow Hideout,https://images.brickset.com/sets/small/21120-1.jpg,Minecraft,Minifig-scale,2015,4.0,327,3,39.99,39.99,1142,731
21121,The Desert Outpost,https://images.brickset.com/sets/small/21121-1.jpg,Minecraft,Minifig-scale,2015,,519,4,59.99,69.99,962,792
21122,The Nether Fortress,https://images.brickset.com/sets/small/21122-1.jpg,Minecraft,Minifig-scale,2015,2.3,571,4,79.99,89.99,870,786
21301,Birds,https://images.brickset.com/sets/small/21301-1.jpg,Ideas,,2015,4.0,580,,44.99,44.99,4987,1406
21302,The Big Bang Theory,https://images.brickset.com/sets/small/21302-1.jpg,Ideas,Licensed,2015,4.3,484,7,59.99,59.99,7497,1555
21303,WALL-E,https://images.brickset.com/sets/small/21303-1.jpg,Ideas,Licensed,2015,5.0,677,,59.99,49.99,9608,2277
21304,Doctor Who,https://images.brickset.com/sets/small/21304-1.jpg,Ideas,Licensed,2015,5.0,623,6,59.99,41.99,6375,1167
30202,Smoothie Stand,https://images.brickset.com/sets/small/30202-1.jpg,Friends,,2015,3.0,37,1,,3.99,1388,442
30203,Mini Golf,https://images.brickset.com/sets/small/30203-1.jpg,Friends,,2015,3.0,26,1,,,1607,435
30204,Wish Fountain,https://images.brickset.com/sets/small/30204-1.jpg,Friends,,2015,3.0,44,1,3.99,3.99,1216,420
30205,Pop Star Red Carpet,https://images.brickset.com/sets/small/30205-1.jpg,Friends,Pop Star,2015,4.0,33,1,4.99,,2058,235
30217,Forest {Random Bag},https://images.brickset.com/sets/small/30217-1.jpg,Duplo,Forest Animals,2015,,4,,,,21,37
30217,Forest - Squirrel,https://images.brickset.com/sets/small/30217-2.jpg,Duplo,Forest Animals,2015,,4,,,,70,42
30217,Forest - Rabbit,https://images.brickset.com/sets/small/30217-3.jpg,Duplo,Forest Animals,2015,,4,,,,63,41
30217,Forest - Deer,https://images.brickset.com/sets/small/30217-4.jpg,Duplo,Forest Animals,2015,,4,,,,71,40
30217,Forest - Bear,https://images.brickset.com/sets/small/30217-5.jpg,Duplo,Forest Animals,2015,,4,,,,63,41
30218,Snail,https://images.brickset.com/sets/small/30218-1.jpg,Duplo,,2015,,6,,,,209,53
30256,Ice Bear Mech,https://images.brickset.com/sets/small/30256-1.jpg,Legends of Chima,Fire vs. Ice,2015,4.5,39,1,3.99,,1355,411
30259,Azari's Magic Fire,https://images.brickset.com/sets/small/30259-1.jpg,Elves,,2015,3.0,27,1,,,2369,292
30272,A-Wing Starfighter,https://images.brickset.com/sets/small/30272-1.jpg,Star Wars,Episode VI,2015,3.5,58,,,3.99,1805,961
30274,AT-DP,https://images.brickset.com/sets/small/30274-1.jpg,Star Wars,Rebels,2015,4.2,65,,,3.99,4091,842
30275,TIE Advanced Prototype,https://images.brickset.com/sets/small/30275-1.jpg,Star Wars,Rebels,2015,3.3,47,,,0.00,3450,700
30276,First Order Special Forces TIE Fighter,https://images.brickset.com/sets/small/30276-1.jpg,Star Wars,The Force Awakens,2015,4.5,41,,3.99,,3572,662
30283,Off-Road,https://images.brickset.com/sets/small/30283-1.jpg,Creator,,2015,4.0,43,,,3.99,1488,466
30284,Tractor,https://images.brickset.com/sets/small/30284-1.jpg,Creator,,2015,4.0,51,,,,2943,540
30285,Tiger,https://images.brickset.com/sets/small/30285-1.jpg,Creator,,2015,4.3,73,,3.99,3.99,2723,400
30286,Christmas Tree,https://images.brickset.com/sets/small/30286-1.jpg,Creator,Seasonal,2015,4.0,65,,,,1995,602
30291,Anacondrai Battle Mech,https://images.brickset.com/sets/small/30291-1.jpg,Ninjago,Tournament of Elements,2015,4.0,43,1,,3.99,1115,375
30292,Jay's Nano Mech,https://images.brickset.com/sets/small/30292-1.jpg,Ninjago,Tournament of Elements,2015,4.5,54,1,,3.99,853,499
30293,Kai Drifter,https://images.brickset.com/sets/small/30293-1.jpg,Ninjago,Tournament of Elements,2015,,43,1,,,3136,299
30294,The Cowler Dragon,https://images.brickset.com/sets/small/30294-1.jpg,Ninjago,Possession,2015,5.0,,1,4.99,,930,390
