number,name,image,theme,subtheme,rating,pieces,minifigs,us_price,eu_price,owner,want_it
10251,Brick Bank,https://images.brickset.com/sets/small/10251-1.jpg,Advanced Models,Modular Buildings,4.6,2380,5,169.99,149.99,7664,4947
10252,Volkswagen Beetle,https://images.brickset.com/sets/small/10252-1.jpg,Advanced Models,Vehicles,5.0,1167,,99.99,89.99,4151,2502
10253,Big Ben,https://images.brickset.com/sets/small/10253-1.jpg,Advanced Models,Buildings,5.0,4163,,249.99,219.99,2299,2921
10254,Winter Holiday Train,https://images.brickset.com/sets/small/10254-1.jpg,Advanced Models,Winter Village,4.6,734,5,99.99,89.99,4931,1896
10654,XL Creative Brick Box,https://images.brickset.com/sets/small/10654-1.jpg,Classic,Basic Set,,1600,,,59.99,278,169
10702,Creative Building Set,https://images.brickset.com/sets/small/10702-1.jpg,Classic,,,583,,29.99,24.99,661,253
10705,Creative Building Basket,https://images.brickset.com/sets/small/10705-1.jpg,Classic,,,1000,,59.99,39.99,254,186
10720,Police Helicopter Chase,https://images.brickset.com/sets/small/10720-1.jpg,Juniors,City,,63,2,9.99,9.99,560,165
10721,Iron Man vs. Loki,https://images.brickset.com/sets/small/10721-1.jpg,Juniors,Marvel Super Heroes,4.5,66,2,12.99,12.99,1520,420
10722,Snake Showdown,https://images.brickset.com/sets/small/10722-1.jpg,Juniors,Ninjago,4.0,92,2,14.99,14.99,415,152
10723,Ariel's Dolphin Carriage,https://images.brickset.com/sets/small/10723-1.jpg,Juniors,Disney Princess,,70,1,14.99,13.49,526,204
10724,Batman & Superman vs. Lex Luthor,https://images.brickset.com/sets/small/10724-1.jpg,Juniors,DC Comics Super Heroes,5.0,164,3,19.99,19.99,915,434
10725,Lost Temple,https://images.brickset.com/sets/small/10725-1.jpg,Juniors,Ninjago,,172,3,29.99,34.99,243,170
10726,Stephanie's Horse Carriage,https://images.brickset.com/sets/small/10726-1.jpg,Juniors,Friends,,58,1,12.99,9.99,235,115
10727,Emma's Ice Cream Truck,https://images.brickset.com/sets/small/10727-1.jpg,Juniors,Friends,,136,2,19.99,19.99,310,221
10728,Mia's Vet Clinic,https://images.brickset.com/sets/small/10728-1.jpg,Juniors,Friends,,173,2,29.99,29.99,194,145
10729,Cinderella's Carriage,https://images.brickset.com/sets/small/10729-1.jpg,Juniors,Disney Princess,4.0,116,2,24.99,24.99,359,218
10801,Baby Animals,https://images.brickset.com/sets/small/10801-1.jpg,Duplo,,,13,,9.99,9.99,394,65
10802,Savanna,https://images.brickset.com/sets/small/10802-1.jpg,Duplo,,,18,1,19.99,19.99,185,79
10803,Arctic,https://images.brickset.com/sets/small/10803-1.jpg,Duplo,,,40,2,29.99,29.99,430,167
10804,Jungle,https://images.brickset.com/sets/small/10804-1.jpg,Duplo,,,86,2,49.99,59.99,150,101
10805,Around the World,https://images.brickset.com/sets/small/10805-1.jpg,Duplo,,,163,,99.99,99.99,218,144
10806,Horses,https://images.brickset.com/sets/small/10806-1.jpg,Duplo,,,20,1,14.99,14.99,113,54
10807,Horse Trailer,https://images.brickset.com/sets/small/10807-1.jpg,Duplo,,,15,2,19.99,19.99,111,44
10808,Little Plane,https://images.brickset.com/sets/small/10808-1.jpg,Duplo,,,13,1,9.99,9.99,278,40
10809,Police Patrol,https://images.brickset.com/sets/small/10809-1.jpg,Duplo,,,15,2,14.99,14.99,112,35
10810,Push Train,https://images.brickset.com/sets/small/10810-1.jpg,Duplo,Trains,,45,2,29.99,29.99,198,53
10811,Backhoe Loader,https://images.brickset.com/sets/small/10811-1.jpg,Duplo,Construction,,19,1,14.99,14.99,204,51
10812,Truck & Tracked Excavator,https://images.brickset.com/sets/small/10812-1.jpg,Duplo,Construction,,28,,19.99,19.99,206,53
